,Algeria,Angola (millions),Ecuador (millions),Indonesia,Iran,Iraq (millions),Kuwait (millions),Libya (millions),Nigeria,Qatar (millions),Saudi Arabia,United Arab Emirates,Venezuela,Brent
1992,1074.7 ,0.0 ,12655.9 ,282395.0 ,5826.5 ,57360.5 ,5826.5 ,9541.0 ,532.6 ,27832.0 ,510.5 ,130.0 ,4.1 ,19.32
1993,1189.7 ,0.0 ,15153.0 ,329776.0 ,7230.6 ,112142.0 ,7230.6 ,9332.0 ,683.9 ,26050.0 ,494.9 ,130.4 ,5.5 ,17.01
1994,1487.4 ,0.6 ,18661.7 ,382219.7 ,7379.8 ,41022900.0 ,7379.8 ,9967.0 ,899.9 ,26843.0 ,503.1 ,134.6 ,8.7 ,15.86
1995,2005.0 ,13.7 ,20287.7 ,454514.1 ,8113.9 ,29586000.0 ,8113.9 ,10680.0 ,1933.2 ,29622.0 ,533.5 ,147.0 ,13.7 ,17.02
1996,2570.0 ,835.5 ,21482.8 ,532568.0 ,9429.1 ,53235000.0 ,9429.1 ,12180.0 ,2702.7 ,32976.0 ,590.8 ,163.8 ,29.4 ,20.64
1997,2780.2 ,1751.8 ,23714.8 ,627695.4 ,9206.7 ,73533000.0 ,9206.7 ,14149.0 ,2802.0 ,41124.0 ,617.9 ,181.2 ,41.9 ,19.11
1998,2830.5 ,2531.8 ,23290.0 ,955753.5 ,7906.5 ,95588000.0 ,7906.5 ,12742.0 ,2708.4 ,37330.0 ,546.7 ,170.7 ,50.0 ,12.76
1999,3238.2 ,17171.0 ,16895.7 ,1099731.6 ,9169.7 ,111456000.0 ,9169.7 ,14139.0 ,3194.0 ,45111.0 ,603.6 ,202.7 ,59.3 ,17.9
2000,4123.5 ,91666.1 ,18318.6 ,1389769.9 ,11570.3 ,157026061.6 ,11570.3 ,17668.4 ,4582.1 ,64646.0 ,706.7 ,259.3 ,79.7 ,28.66
2001,4227.1 ,197110.8 ,24468.3 ,1646322.0 ,10700.0 ,130642187.0 ,10700.0 ,18079.2 ,4725.1 ,63840.0 ,686.3 ,379.4 ,89.0 ,24.46
2002,4522.8 ,497625.9 ,28549.0 ,1821833.4 ,11590.0 ,158521511.0 ,11590.0 ,25914.0 ,6912.4 ,70484.0 ,707.1 ,403.3 ,107.8 ,24.99
2003,5252.3 ,1041225.5 ,32432.9 ,2013674.6 ,14267.2 ,211309950.0 ,14267.2 ,37360.7 ,8487.0 ,85663.0 ,804.7 ,456.7 ,134.2 ,28.85
2004,6149.1 ,1652049.5 ,36591.7 ,2295826.2 ,17516.7 ,214767950.7 ,17516.7 ,48159.0 ,11411.1 ,115512.0 ,970.3 ,542.9 ,212.7 ,38.26
2005,7562.0 ,3222352.0 ,41507.1 ,2774281.1 ,23593.2 ,241506100.0 ,23593.2 ,66618.6 ,14572.2 ,162091.0 ,1230.8 ,663.3 ,304.1 ,54.57
2006,8501.6 ,4209762.0 ,46802.0 ,3339216.8 ,29469.5 ,224772400.0 ,29469.5 ,79029.9 ,18564.8 ,221610.0 ,1411.5 ,815.7 ,393.9 ,65.16
2007,9352.9 ,5006335.0 ,51007.8 ,3950893.2 ,32580.6 ,191715800.0 ,32580.6 ,92693.6 ,20657.3 ,290152.0 ,1558.8 ,947.2 ,494.6 ,72.44
