,Algeria (millions),Angola (millions),Ecuador (millions),Indonesia (millions),Iran (millions),Kuwait (millions),Nigeria (millions),Qatar (millions),Saudi Arabia (millions),UAE (millions),Venezuela (millions),OPEC Total,Brent
1992,1074700,0.003513394,12655.86,282395000,5826460,5826.464,532610,27832,510460,130000,4130,290519674.3,19.32
1993,1189720,0.026937801,15152.95,329776000,7230580,7230.581,683870,26050,494910,130390,5450,339559353.6,17.01
1994,1487400,0.620234375,18661.68,382219700,7379760,7379.757,899860,26843,503050,134610,8680,392685945.1,15.86
1995,2004990,13.661952,20287.67,454514100,8113930,8113.934,1933210,29622,533500,147030,13690,467318487.3,17.02
1996,2570030,835.493,21482.78,532568000,9429060,9429.059,2702720,32976,590750,163750,29440,548118473.3,20.64
1997,2780170,1751.785,23714.84,627695400,9206730,9206.73,2801970,41124,617900,181180,41940,643401087.4,19.11
1998,2830490,2531.764,23290.04,955753500,7906500,7906.496,2708430,37330,546650,170670,50010,970037308.3,12.76
1999,3238200,17171,16895.72,1099731600,9169700,9169.695,3194010,45111,603590,202700,59340,1116287487,17.9
2000,4123510,91666.1,18318.6,1389769900,11570300,11570.3,4582130,64646,706660,259250,79660,1411277611,28.66
2001,4227110,197110.8,24468.32,1646322000,10700000,10700,4725090,63840,686300,379410,88950,1667424979,24.46
2002,4522770,497625.8609,28548.95,1821833400,11590000,11590,6912380,70484,707070,403300,107840,1846685009,24.99
2003,5252320,1041225.54,32432.86,2013674600,14267200,14267.2,8487030,85663,804650,456660,134230,2044250279,28.85
2004,6149120,1652049.477,36591.66,2295826200,17516700,17516.7,11411070,115512,970280,542880,212680,2334450600,38.26
2005,7561980,3222352,41507.09,2774281100,23593200,23593.2,14572240,162091,1230770,663320,304090,2825656243,54.57
2006,8501640,4209762,46802.04,3339216800,29469500,29469.5,18564800,221610,1411490,815720,393930,3402881524,65.16
2007,9352890,5006335,51007.78,3950893200,32580600,32580.6,20657320,290152,1558830,947200,494590,4021864705,72.44
2008,11043700,6643353,61762.64,4948688400,39619800,39619.8,24296330,419583,1949240,1158580,677590,5034597958,96.94
2009,9968030,5583531.059,62519.69,5606203400,30496200,30496.2,24794240,355986,1609120,931150,707260,5680741933,61.74
2010,11991560,7701651,69555.37,6864133100,33079100,33079.1,55469350,455445,1975540,1050520,1016830,6976975730,79.61
2011,14588530,10500942,79276.66,7831726000,42511600,42511.6,63713360,610702,2510650,1279960,1357490,7968921022,111.26
2012,16208700,12224950,87924.54,8615704500,48722200,48722.2,72599630,680074,2752330,1371420,1635450,8772035901,111.63
2013,16650180,13195004,94776.17,9546134000,49392100,49392.1,81009960,723368.62,2791260,1421960,2245840,9713707841,108.56
2014,17242540,14323859.22,100917.37,10565817300,46285000,46285,90136980,750657.54,2826870,1466990,3031240,10742028639,98.97
2015,16591880,13824174,100871.77,11540789800,34314600,34314.6,95177740,599294.85,2422510,1359910,6025330,11711240425,52.32
